公司,工作地區,職稱,start_time,end_time,最高學歷,一週工時,待遇,是否推薦此工作,內容
元太數位科技有限公司,臺北市,INTERNET程式設計師,2001-01-21,2003-01-21,大學,40,"36,000 / 月",不推,"【內容跟求職天X通的一樣】
若您來面試，請要有被晾在旁邊半小時以上的心理準備，因為老闆會做完自己的事情才去找面試者（且是無關緊要的事），面試時表面上在詢問您處理事情的方式，實際上是在挖您過去工作的業務內容，挖完後再跟公司員工說他想做這些東西。

若您是應徵程式設計師，且是完全無經驗想寫寫程式，大約四個月就可以離職；若您有經驗，建議不要入職，開發部主管心態很有問題，不會接納新技術、主流技術，認為前端框架（React、Vue…）、ASP.NET MVC 皆是邪門歪道，縱使人力銀行的職務有寫相關技術，但實際上是完全用不到，就算您提出建議，也會被用很奇怪的原因打槍（e.g. 那些前端框架都不是純 HTML，甚至還有資安問題，那為甚麼不直接使用 HTML就好。以上出自於該開發主管口中。），沒有 Design Pattern、SOLID、物件導向的概念，一堆義大利麵程式，其他開發人員（年資約兩年）連把程式共用出來都不願意寫。

若您是應徵業務經理，您會被叫去做PM的事情，舉凡網站的 Wireframe、UI設計，甚至會因為老闆向客戶口頭答應各種需求，最後案子收不回來，但老闆不會認帳，會把鍋甩給您。

若您是應徵PM，您的加班時數會直線上升，過去公司因各種原因，導致需求沒在該交付的時間內交付給客戶，或是每個系統都有 Bug長期未修護，導致客戶滿意度很低。

這間公司的制度、文化以及跨部門的問題可謂罄竹難書，一年左右，離職的人至少有六位（任職皆半年以上）。老闆自稱很會協調，但事實上總是在說空話，一個系統可以每周跟他解釋至少一次，每一次幾乎都解釋相同的事情，但他不會承認他沒記住，因為他總是會跟你說這是在”創意發想”。
每一次跟他開會，少說兩小時起跳，然後開完後總是沒有結論，之後又在討論一樣的事情，開會內容總是跟會議標題離題，員工只能當他的聽眾，只能說合他意的言論，因為他的心中早就有答案，若您的言論與他的答案不一致，他會不高興，並且頻頻在員工發言時插話，不開心就在旁邊滑手機，會議只是他的宗教演說會。
聲稱自己尊重專業，但想到甚麼就想做甚麼，開發人員、PM給予建議，聽不懂就說”這些東西我不用懂，你們是專業。”，但下一次又要再解釋給他聽，解釋完他還是不懂，或是裝作聽得懂就會跟你說”我就是要跟你說這個”，然後再扯其他事情，最後會議結束，就算有人有心想做會議紀錄也做不了，因為整個會議沒有重點與結論。
違約罰款繳得很乾脆，說繳違約金給客戶是給他們面子，但建議公司買套弱掃軟體說甚麼也不肯（沒錯，公司沒有弱掃軟體）。

再來說說開發部門的主管，該主管任職於公司10年，自幹了用 ASP.NET Webform為基礎的自製框架，不是使用Webform的code behind以及元件，也沒有用ORM，完全自幹。
覺得自己做得框架無人能比，不允許任何員工去異動框架的內容，曾說”只有乖的和能力比他強的才有機會異動”，但是乖的提出問題，總是會被莫名的理由回絕，能力強的會被鬥走，因為他聽不進其他人的意見。看不爽員工就用各種手段去放暗箭，員工私訊問題請教不讀不回，然後再說訊息都被洗掉，甚至將員工踢出部門群組再邀回來，聲稱微軟的Teams有Bug。
員工們覺得在他身上找不到答案，不詢問他意見時，他又說沒人跟他溝通，他甚麼都不知道。
曾經會議不到放鳥大家，放鳥原因是買不到高鐵自由座，所以當天不進公司，大家傻眼，難道捷運搭不到、客運坐不到？
曾在會議上跟人意見不合就直接大聲開嗆，直接對資深PM嗆”你現在是在不爽甚麼？”，然後直接離席。
也是一位聲稱自己總是努力跨部門溝通的人，但PM提出客戶需求，總是說客戶需求很奇怪，這樣做會有問題；業務經市場調查後提出新功能發想，總說資安問題沒辦法做。
不想做事總是有好幾個理由，連客戶要求HTML轉PDF也跟客戶說做不到（客戶親口說的），沒有叫你自刻套件欸。

鬼故事還有很多，但我不建議各位親身體會，這裡是連養老都稱不上的地方。
"
松下電材,桃園市,廠務,2005-01-21,2007-01-21,大學,40,"600,000 / 年",推,"【薪資】
公司底薪不高，獎金滿多的，但無良好升遷制度，適合養老的公司"
久元電子股份有限公司,新竹市,測試工程師,1900-01-20,1902-01-19,大學,50,"35,000 / 月",不推,"【工作內容分享】
很像作業員，可以學操作機台但是是低階機台」1~2年就可以走了，第1年機乎沒有年終"
林可可家的牧場,桃園市,廚房內場,1900-01-20,1902-01-19,碩士,16,160 / 小時,推,"【實際工作內容】
負責食材擺盤與加熱"
大大小小行創股份有限公司,臺北市,實習生,2001-01-21,2003-01-21,大學,9,100 / 日,不推,"【實際工作內容】
以經營品牌端的粉絲專頁為主，跟其他實習生一起發想活動，撰寫貼文等等。


【工時狀況】
每個禮拜去一天，因為公司的人全都在加班會讓很多實習生也不好意思早退，大家常常多留30分以上，但離開時員工從來都還在。

【薪資福利】
只有去辦公室的當天中午補貼100元餐費津貼。

【公司 / 團隊文化】
員工人都很好，但辦公室整體氣氛冷淡。"
燿華電子股份有限公司,宜蘭縣,課長,2010-01-21,2012-01-21,碩士,40,"60,000 / 月",推,"【工作內容與感想】
1.同事人還算可以，養老
2.想賺錢年薪破百，不可能，除非理級以上主管
3.建議有才華的可以選擇更好的舞台"
DELOITTE,臺北市,副理,2004-01-21,2006-01-20,大學,50,"60,000 / 月",推,"【工時較長】
小心肝"
國立臺灣大學,臺北市,專案研究員,1900-01-20,1902-01-19,碩士,40,"43,000 / 月",推,"【工作內容】
基本上是延續碩士班的生活步調，很適合想慢點進入職場或有計劃申請國外博士班的學生，薪資說不高，但對生活而言算是相當充裕，但轉到正值為公家單位，需配合規定打卡上下班，比起學生時期的自由度降低很多，某種程度上也會限制研究的產出。"
長春石油化學股份有限公司,苗栗縣,ISO╱品保人員,1900-01-20,1902-01-19,碩士,40,"38,750 / 月",不推,"【實驗室檢驗】
包含ICP-MS、ICP-OES等操作"
翌宙科技股份有限公司,新竹縣,業務代表,2005-01-21,2007-01-21,大學,40,"38,000 / 月",不推,"【實際工作內容】
一家飯曼量測儀器的代理商，老闆主要強項是紅外線檢測儀。

進去之後根本不會有教育訓練，叫你自己去官網看產品，然後自己打電話開發。
一台兩百萬的紅外線氣體洩漏儀就叫你自己去推銷，怎麼操作、產品優勢一概不會告訴你。
只會告訴你[出社會自己要學]。




【公司 / 團隊文化】
基本上就是兩兄妹老闆說了算，沒有制度、朝令夕改。
今天叫你交這報表，下禮拜又改成交另一個報表。
把員工當狗罵是家常便飯，天天朝會天天罵。

【薪資福利】
福利一概沒有，連上班用的筆電都請你自備，薪水曾經周轉不良延遲十幾天才發。"
國立中興大學,臺中市,博士後研究員,2010-01-21,2012-01-21,博士,10,"73,000 / 月",不推,"【實際工作內容】
工作內容就是申請計畫、結案報告、論文投稿、帶研究生、參加競賽，每年做的研究題目都不太一樣，標準隨計畫走，工作量不重但壓力會很大，因為要求創新跟應用，但研究經費常常不足，要思考如何開源節流。

【薪資福利】
如果有本事自己去外面接計畫，有機會加薪，但受限政府法令規定，博士後研究在是上班期間不得兼職，所以限制很大。每年可能會調薪1000元，但注意不是年年調。

【升遷制度】
不會有升遷的可能性。"
亞太電信股份有限公司,臺北市,帳務人員,2004-01-21,2006-01-20,大學,40,"36,000 / 月",不推,"【工作經驗分享】
很傳統公司 不像電信業 老闆很重要
"
飛捷廣告印刷有限公司,臺北市,店員,1900-01-20,1902-01-19,大學,20,160 / 小時,推,"【工作內容：】
初期是4小時都在影印，而後會到櫃檯和進階影印機具操作"
中華精測科技股份有限公司,桃園市,其他工程研發主管,2004-01-21,2006-01-20,碩士,90,"92,000 / 月",不推,"【工作福利】
工程師升遷至主管，但是上面不給完整加班費與不給相對職務福利，毫無制度可言"
緯創科技,新竹市,客戶品質工程師,1900-01-20,1902-01-19,碩士,50,"47,000 / 月",推,"【實際工作內容以及公司文化】
工作內容：品質異常處理、客戶稽核、品質週月報、8D,一天大概有3、4場以上廠內會議蠻容易耗工作時間，公司系統還沒有很系統化沒有共用儲存空間，但應該快有了，公司文化非常自由，比較沒有學長姐制"
愛因斯坦人工智慧股份有限公司,新北市,後端工程師,2005-01-21,2007-01-21,碩士,40,"840,000 / 年",推,"【充實又繁忙】
工作算繁忙，且有挑戰性，且產品性質算是未來看好的"
南山人壽保險股份有限公司,臺北市,理賠專員,2002-01-21,2004-01-21,碩士,45,"47,800 / 月",不推,"【公司氣氛】
主管、同事人都算好相處，不過新舊系統轉換、有許多人工的議題還需要漫長的時間慢慢解決"
江口設計工作室,臺北市,員工,1900-01-20,1902-01-19,大學,40,"32,000 / 月",推,"【工時狀況】
準時下班

【薪資福利】
產業關係不會太好
每半年~一年調薪

【公司管理方式】
很自由，主管懂很多也很願意分享指導，若是有想要學習的公司也會補助出去外面上課

【獲得的成長】
多元的業務內容

【公司 / 團隊文化】
環境很好

【建議】
對文創、設計產業有熱忱的人是很不錯的選擇"
信紘科技,苗栗縣,設計工程師,2004-01-21,2006-01-20,碩士,45,"42,000 / 月",推,"【公司 / 團隊文化】
少部分管理層難以捉摸

【工時狀況】
大部分時程能自己掌握專案執行進度，忙的時候偶爾需連續加班，但還可以接受"
資策會,臺北市,軟體工程師,2002-01-21,2004-01-21,大學,40,"38,000 / 月",推,"【我是派遣員工，】
工作專案完成進度，空閒時間很長，需要自己工作外的事情或目標"
中國信託商業銀行,臺北市,軟體工程師,2003-01-21,2005-01-20,大學,40,"45,000 / 月",推,"【實際工作環境】
過版在半夜需到公司
給假跟請假主觀都不會刁難
同事間派系還蠻多的
主管緣很重要會影響考績"
緯創軟體股份有限公司,臺北市,資深軟體工程師,2003-01-21,2005-01-20,,40,"53,000 / 月",推,"【工作內容】
人力派遣性質，前端開發，基本上沒什麼事要忙，同事也都在準備跳槽，是個練功的地方

【工時狀況】
因為駐點在銀行對於上班時間比較要求，同樣的下班也是準時下班"
將來商業銀行股份有限公司,臺北市,工程師,2003-01-21,2005-01-20,大學,50,"55,000 / 月",不推,"【內鬥嚴重】
各單位間鬥爭嚴重，
尤其是某些高層會聯手打壓 IT 人員，網內打到網外。
資訊部頭頭基本上像被架空，自身難保。
HR 說的 Bonus 是掰的，不要笨到相信 QQ

想了解金融業的內鬥細節可以參考下面文章，只能說寫得十分寫實
http://97.107.128.211/salaries/salary_view_tw/15768"
台灣之星電信股份有限公司,臺北市,專案管理師,2002-01-21,2004-01-21,碩士,55,"38,000 / 月",不推,"【在公司待比較久的資深同事不優】
資深同事會協助給予專案上的經驗，內部開會時，資深同事也會獲得主管的讚賞，表示有把我帶好。

而內部的討論在經過多次會議後，大家也一致認為沒問題。接著進行跨部門開會時，資深同事還會去附合別單位同事的批判意見，例如「對阿，這個東西看起來真的很怪」，整個很牆頭草又扯後腿，會後還跑來跟我說「會不會覺得一直改很辛苦，沒辦法這裡就是這樣」。真的很傻眼~

【實際工作內容】
副總三不五時就會在她的辦公室「大聲辱罵員工」，可以持續一小時，丹田很有力。

【公司管理方式】
上下班不打卡，可是上班時間一到沒有乖乖坐在坐位上，會被巡鑼的同事查到，然後記「遲到」。公司每個月還會寄出「休假月結排名統計」給大家，把全公司請最多假 ( 統計的邏輯是：病假、特休、事假、遲到 ) 按月統計次前 10% 的員工寫出來，附件有「全公司員工的請假排名」的excel，說是當成積效考核用。

不懂請特休(國家給員工的福利)、病假跟事假也是不得已(扣員工自己薪水)… 到底有什麼好拿出來「示警」的????????"
英特盛科技股份有限公司,苗栗縣,專利工程師,2018-01-21,2020-01-21,大學,50,"75,000 / 月",不推,"【英特盛科技股份有限公司 工作經驗分享】
提案量龐大，很操

【實際工作內容】
專利檢索/新案校稿/專利答辯/專案分析/請款/行政庶務

【工時狀況】
天天加班"
桓達科技股份有限公司,新北市,硬體資深工程師,2008-01-21,2010-01-20,博士,45,"70,000 / 月",推,"【新鮮人可以進去練功】
新鮮人可以進去練功"
群體資訊有限公司,臺北市,資料分析實習生,1900-01-20,1902-01-19,,,,不推,"【公司資訊】
最早由涂立青（Larry Tu）創立，之後被彭丞靖（Cooper Peng）買下，成為歐可達數據科技的全資子公司。

由於歐可達於 2020 年終欠款數百萬，彭丞靖與涂立青決定將員工轉移到帳面沒有赤字的群體資訊，以利未來募資。而不願到群體資訊的員工皆遭到歐可達資遣，並且未給付薪水、年終、資遣費，欠薪人數達 10 人以上，金額約 100 萬元，留下一攤爛帳在歐可達，並且彭丞靖避不見面，經勞資調解後仍違約繼續欠款至今。

目前，群體資訊僅剩涂立青一人，主要負責維護歐可達之前接下的案子。

（更多資訊，可以在上方搜尋欄搜尋歐可達數據科技）"
陶板屋台中河南分公司,臺中市,外場服務生,1900-01-20,1902-01-19,大學,35,160 / 小時,推,"【排班】
通常都是前一個月先畫假，規矩的話就看各分店的要求，通常都是有重複幾人以上畫同一天假就要去協調說誰請
上班前一天會依狀況去調整隔日或是下一段班的上班人員跟工作站，有時候比較不忙的日子也會有改休的狀況，忙得時候也有可能被call問方不方便支援，不過主管人都不錯

【實際工作內容】
餐飲業在體力上比較吃重，還有EQ..哈哈，工作要求不難，主要都是看能不能夠適應，會常常走來走去，有時候忙起來真的很可怕，氣氛會變得非常認真模式，有很大一部分是因為大家都處的很好，有狀況就會努力互相cover，因為大家互相幫忙就能夠早點休息，去吃個消夜之類的。 平日中午或是晚上就輕鬆許多，除非遇到節慶不然客人都是非常能夠應付的量。 當天的工作氣氛就會處的比較輕鬆，大家做好自己的工作，也比較多空檔可以喇豬屎，不過不能太誇張就是了XD"
歐可達數據科技有限公司,臺北市,資料工程師,1900-01-20,1902-01-19,,,,不推,"【公司背景】
公司的負責人是彭春桂，但實際上彭春桂只是人頭，主要負責營運的是他的兒子彭丞靖（Cooper Peng）。


【營運狀況】
2020/12/31 CEO 涂立青（Larry Tu）招集全體員工開會，表示因為歐可達因帳上負債太多，未來不可能募資成功，因此要求員工轉移到歐可達的全資子公司群體資訊有限公司，如果不同意的話將會被公司資遣。

後來許多人選擇不加入群體資訊而被資遣，到了 2021/1/8 發薪日時，這些人就沒有收到 12 月份的薪水了，理由是公司已經沒錢了。奇怪的是，就我所知群體資訊當時並沒有任何業務收入，但涂立青卻表示如果加入群體資訊的話，群體資訊的資金至少還可以再撐兩個月（至 2021/10 仍營運中），這些錢是怎麼來的就不得而知了。

【積欠薪資】
當時選擇被資遣的員工們，都沒拿到 12 月份的薪水，而選擇加入群體資訊的員工都正常拿到薪水。之後直到離職當天，都未給付 12 月份及 1 月份的薪水、2020 年終獎金（合約明定的）、資遣費。遭到欠款的員工達 10 人以上（含實習生），總金額約 100 萬。

後來 8 名員工在 2021 年 2 月時申請勞資調解，勞方由涂立青與彭丞靖的律師出席，並在第二次勞資調解時，涂立青電話徵得彭丞靖同意，達成分期付款（共九期）的共識，調解成立。

2021/6/5 ，歐可達未如約償還第四期的欠款。與涂立青聯絡後，他表示 6/18 一定會還款，但最終並未還款。違約後，數名員工去聲請強制執行，但由於歐可達帳上已經沒有現金了，所以並未成功取得欠款。

至今，曾多次聯繫涂立青，但他說詞反覆，曾說彭丞靖要申請紓困貸款，但是要與離職員工們重訂還款方式；後來又說，彭丞靖要他自己承擔這約 100 萬的債務，他並不同意。總之，並未感受到彭丞靖有解決事情的誠意。

其實依法如果公司歇業的話，這些積欠的款項是可以申請由政府墊償，至少身為勞工的我們可以拿到應有的權益。但是當初還在公司時，彭丞靖說歐可達是用他爸的名字開的公司，他不會讓它倒的（實際上有沒有其他原因不得而知）。

【現況】
從今年離職後，都無法直接連繫到彭丞靖，必須透過涂立青轉達，而涂立青也常聯絡不到彭丞靖。直至今日彭丞靖仍不願出面處理欠款。

現在歐可達辦公室的內部已經改為加密貨幣礦場，不確定是否由彭丞靖負責營運。"
台灣高速鐵路股份有限公司,臺北市,招募專員,2003-01-21,2005-01-20,大學,50,"38,000 / 月",推,"【實際工作內容】
應聘人員很多，履歷量不需擔心，需出差，大量招募的面試有制式題目，但是缺額很多，招募工作量不小。

【升遷制度】
沒什麼晉升的機會。

【薪資福利】
薪資穩定，每年穩定調薪。

【獲得的成長】
可以學習大量招募作業，或是服務業相關招募的經驗。"
碩達資訊,新竹市,軟體工程師,2005-01-21,2007-01-21,大學,40,"700,000 / 年",推,"【實際工作內容】
雖然薪資較為普通，
但是老闆與同事間相處方式較為輕鬆。"
SGS,臺中市,有機化學分析師,2001-01-21,2003-01-21,大學,44,"47,000 / 月",推,"【學到很多檢驗方法、魔鬼藏在細節裡】
1. 培養時間管理、效率與對於數據得敏銳度!
2. 上班時間為7.5hr，多賺0.5hr
3. 每個部門的年終都不同
4. 有補助學習英文(但要上滿課程)"
光寶科技股份有限公司,高雄市,人力資源助理,1900-01-20,1902-01-19,大學,50,"28,000 / 月",推,"【招募助理】
履歷篩選、面談邀約、面試安排、主管聯繫、人選任用作業"
東元電機,臺北市,機械工程師,2005-01-21,2007-01-21,大學,45,"45,000 / 月",不推,"【主要工作內容】
主要從事馬達設備維修等工作，也負責 這幾項工作1、負責產品的現場開箱，安裝，調試和客戶教育訓練。 2、負責設備故障診斷，責任劃分與故障排除。 3、負責設備故障修理和正常維護保養。 4、負責推廣並執行設備的維護保養計畫/合約。 5、協助產品設計和製造，設備組裝，維修工作環境技術改造。 6、協助零配件報價和技術支援，並向公司回饋現場資訊。 7、完成上級安排的其它任務。 8、需接受海外訓練課程。"
中華電信研究院,桃園市,副研究員,1900-01-20,1902-01-19,碩士,30,"78,400 / 月",推,"【工作內容】
主要看部門，但大多相比業界都壓力較小"
金可國際股份有限公司,臺中市,一級技術助理,2003-01-21,2005-01-20,大學,50,"28,000 / 月",不推,"【工作內容】
原物料收發/出貨撿成品

【工時狀況】
加班是常態 不加班會被問
人力不足又不補人  很多人待不下去
"
KPMG,臺北市,主任審計員,2003-01-21,2005-01-20,大學,55,"48,000 / 月",不推,"【人力不足】
組上普遍都經常加班"
長榮航太科技股份有限公司,桃園市,採購,2004-01-21,2006-01-20,大學,40,"49,000 / 月",推,"【長榮航太科技股份有限公司 工作經驗分享】
在這裡工作，類似公務員，薪資穩定，但成長性主要也是看年資，是個可以安穩的工作"
路由藝術,臺北市,藝術行政,1900-01-20,1902-01-19,大學,43,"26,000 / 月",不推,"【非常非常非常糟糕的工作經歷】
老闆在面試階段非常有魅力，舌燦蓮花，講得非常令人動心。工作之後完全不是這個樣子，常常監控員工，透過監視器監控你的一舉一動，而且不理解員工的工作內容，常常會因為他自己不懂職務內容而被破口大罵。情緒控管非常有問題，反覆無常，還會有起床氣，不知道什麼時候會被掃到颱風尾，工作起來心情跟進度也會被影響，時時刻刻戰戰兢兢，午休從來沒有超過半個小時，不然會忙不完。非常難捉摸的個性也讓工作職務索然乏味，環境也是欠佳，擁擠又髒亂，還沒有冷氣吹，苦不堪言。
主管勢利眼，見你沒利用價值，會直接跟你交惡翻臉。"
喬山健康科技股份有限公司,臺中市,關鍵技術機構工程師,2006-01-21,2008-01-21,碩士,48,"42,000 / 月",不推,"【工作心得】
● 6人部門，二個月走了二人
● 關鍵技術部門-張x福主管風格-要馬兒跑，也要馬兒自已會自行買草來種，以便收割
● 18:00下班(正常工程17:20下班)，會被主管叫進會議室關心進度，是不是工作太輕鬆了
● 公司責任制，無加班費用
● 每天組員安排的工作項目，再臨時追加新的項目，以便測試組員是否工作太過輕鬆
● 前一天需先預定明日工作項目，主管會於下班時，審查進度狀況
● 人前人後各有一面，當遇到進度追問時，最好有其它部門的人員在場，可有效預防主管口出惡言
● 好的主管，讓人學習與退休無虞；歡迎自行體會每日充實之後的虛脫感"
機光科技股份有限公司,新竹市,工程師,1900-01-20,1902-01-19,碩士,43,"45,000 / 月",不推,"【一年來的心得】
同事之間人都還不錯，不過流動率非常的高，斷層很大。離職原因大部分都是覺得薪水不夠，根本沒有甚麼年終可言。工作環境算差，雖然有機合成大家也習慣聞到solvent的味道，不過長時間下來應該不會有人想在這樣的環境工作。因為公司不賺錢，設備都老舊不然就是要共用，3個人用一台濃縮機是常態。"
晶元光電股份有限公司,臺南市,製程研發,2003-01-21,2005-01-20,碩士,50,"46,000 / 月",不推,"【工作經驗分享】
如果想過穩定生活不求錢多，7點下班可以參考"
